Nations,Nation Check,Overlord,Eco Vassals,Eco Over.,Compare,MP Vassals,MP Over.,Compare,20% Total,Vassal Type,,L. Desire,Base,Comparison,Individual,Friend/Rival,Taxes,,Indep War?,Autonomy,Threshold,Chaotic?,Deceptive?,Honor?,Indep.?,Unity?,Ov. Culture,Ov. Religion,Non-aggression Pacts,Defensive Pacts,,Military Alliances,,Limit,Trade 1,Value,Trade 2,Value,Trade 3,Value,Trade 4,Value,Trade 5,Value,Trade 6,Value,Trade 7,Value,Trade 8,Value,Trade 9,Value,Trade 10,Value,Trade 11,Value,Trade 12,Value,Trade 13,Value,Trade 14,Value,Trade 15,Value,Raw Trade Income,Tariffs,Trade Income,NAPs,Def. Pacts,Mil. Pacts,Trades
Federation of Tlo'tsaa,Federation of Tlo'tsaa,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1.00,0.00,0,0,0,0
Ceavia,Ceavia,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,,,,,6,Kingdom of Jasper,"5,948.25",The Republic of Alyvosk,"6,704.50",Lauzydos,"4,730.00",Velken Bulwark,"4,300.00",Kingdom of Aeornia,"5,264.19",Elyen-Mev,"4,450.00",,,,,,,,,,,,,,,,,,,"31,396.94",1.25,"39,246.17",0,0,0,6
Carcukhanate,Carcukhanate,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,The Kingdom of Zahar,,,,10,Stratavia,"2,000.00",Kingdom of Ardungual,"6,545.00",Stryaxina,"4,006.25",The Gavi’ Kingdom,"2,504.25",Free City of Zephyrabad,"9,718.50",,,,,Remid Republic,"11,728.75",,,Stortingr Republik af Frystdömet,"8,835.00",,,,,,,,,,,"45,337.75",0.75,"34,003.31",0,1,0,7
Stryaxina,Stryaxina,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,"Visjido, Vantira",,,Second State of Los,,9,Vantira,"6,125.00",The Aislings,"6,998.75",Commonwealth of Gonaria,"4,042.50",Kingdom of Ardungual,"6,545.00",Pólitonskóron,"7,896.28",Second State of Los,"4,300.00",Audgunn,"5,726.25",Tsûa Lâng,"6,998.75",Carcukhanate,"5,950.00",,,,,,,,,,,,,"54,582.53",0.95,"51,853.40",2,0,1,9
Imperial City of Soria,Imperial City of Soria,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,Alderdorf,Glasrhaidd,,Kinh Nam City-State,Elphonsa,6,Kinh Nam City-State,"9,313.56",Kingdom of Gallacia,"5,652.50",Glasrhaidd,"3,368.75",Republic o. Zuntirar,"9,933.00",Elphonsa,"2,296.88",Mach Republic,"5,390.00",,,,,,,,,,,,,,,,,,,"35,954.69",1.05,"37,752.42",1,1,2,6
Great Host of the Unconquered Sun,Great Host of the Unconquered Sun,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,Holy Kights of the script,,,,,10,Holy Kingdom of Scripts,"4,166.25",Kingdom of Járnfjall,"5,950.00",The Lakarish Kingdom of Olkmania,"6,156.25",Diogen,"4,300.00",,,,,,,,,,,,,,,,,,,,,,,"20,572.50",0.75,"15,429.38",1,0,0,4
Zalmoxia,Zalmoxia,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,"Aisling, MAA, Kingdom of Mimgrond, Kingdom of Járnfjall",,,The Holy Realm of Herkunft,,6,Kingdom of Mimgrond,"7,140.00",The Aislings,"6,998.75",Maa,"5,160.00",Arcadia,"4,730.00",Kingdom of Járnfjall,"5,950.00",The Trade Families of Kemakmura,"12,369.00",,,,,,,,,,,,,,,,,,,"42,347.75",1.25,"52,934.69",4,0,1,6
Mercati Emporium,Mercati Emporium,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,The F.C. of Cupiditas,,The Kingdom of Lunar,Snow Dominion,Him Maliataki,11,Snow Dominion,"5,301.00",Maatada Istara,"4,462.50",High City of Tirsil,"9,718.50",The Kingdom of Lunar,"7,387.50",The Amerian Republic,"8,466.88",The Statute of Order,"4,462.50",The Free Cities of Cupiditas,"18,141.00",Lisanos,"1,987.50",Nummum,"11,853.63",The Trade Families of Kemakmura,"12,369.00",Hui Kai,"11,231.83",,,,,,,,,"95,381.83",0.75,"71,536.37",1,1,2,11
Jalpol,Jalpol,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,,,Royal City of Gevero,,10,Royal City of Gevero,"5,742.75",Karak Helhein,"4,785.63",Tetóth Kegeth,"4,859.25",,,,,,,,,,,,,,,,,,,,,,,,,"15,387.63",0.95,"14,618.24",0,0,1,3
Terrum Aetheri,Terrum Aetheri,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,Holy Kingdom of Scripts,,Neonian Kuningate,Herzogtum Enzla,7,Svetograd,"5,160.00",Free City of Zephyrabad,"9,718.50",Free City of Erub-Kai,"8,098.75",Herzogtum Enzla,"4,042.50",Holy Kingdom of Scripts,"4,166.25",The Aislings,"6,998.75",Free City of Zephon,"10,947.60",,,,,,,,,,,,,,,,,"49,132.35",0.95,"46,675.73",0,1,2,7
Holy Kingdom of Scripts,Holy Kingdom of Scripts,,"55,191.56","170,215.75",32.42%,"28,758.13","50,325.00",57.14%,17.91%,,,,,0.00%,,0.00%,,,,,,,,,,,,,"Kingdom of Gallacia, Saholnahes Ceulunas",Terrum Aetheri,Neonian Kuningate,Herzogtum Enzla,The Teutā Erwā,7,Herzogtum Enzla,"4,042.50",The Teutā Erwā,"2,958.05",Kingdom of Gallacia,"5,652.50",Terrum Aetheri,"5,980.00",Neonian Kuningate,"4,170.00",Scientarium,"13,156.00",Great Host of the Unconquered Sun,"3,675.00",,,,,,,,,,,,,,,,,"39,634.05",1.05,"41,615.75",2,2,2,7
Kingdom of Járnfjall,Kingdom of Járnfjall,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,"Zalmoxia, Kingdom of Nymeria",Kh'nûll Diocese,Yayallpa,The Holy Realm of Herkunft,Grand Nimbusia,10,Zalmoxia,"3,675.00",The Holy Realm of Herkunft,"2,650.00",Kingdom of Nymeria ,"3,368.75",Kh'nûll Diocese,"3,062.50",Iidunn,"3,225.00",The Trade Families of Kemakmura,"12,369.00",Yayallpa,"1,987.50",Diogen,"4,300.00",Great Host of the Unconquered Sun,"3,675.00",Grand Nimbusia,"4,515.00",,,,,,,,,,,"42,827.75",0.75,"32,120.81",2,2,2,10
Mébian Confederation,Mébian Confederation,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,Kingdom of Aeornia / Tarmarches / State of Iskura,,,,,7,Kingdom of Aeornia,"5,264.19",Alapadana,"2,186.25",The Tarmarches,"5,060.00",The State of Iskura,"4,049.38",Clan of Skye ,"7,387.50",,,,,,,,,,,,,,,,,,,,,"23,947.31",1.05,"25,144.68",1,0,0,5
Jään Herruus,Jään Herruus,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,,,Unified Republic of Kaiarau,Free City of Zephon,6,Unified Republic of Kaiarau,"4,287.50",Free City of Zephon,"10,947.60",The Free Cities of Cupiditas,"18,141.00",,,,,,,,,,,,,,,,,,,,,,,,,"33,376.10",1.05,"35,044.91",0,0,2,3
Drahacira,Drahacira,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1.05,0.00,0,0,0,0
Forge of Aarde,Forge of Aarde,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,,,,,7,Saholnahes Ceuluanas,"2,718.75",Dinasygan,"3,831.25",Kingdom of Gallacia,"5,652.50",,,,,,,,,,,,,,,,,,,,,,,,,"12,202.50",1.05,"12,812.63",0,0,0,3
The Teutā Erwā,The Teutā Erwā,,"65,678.05","90,090.64",72.90%,"28,725.47","30,055.78",95.57%,33.70%,,,,,0.00%,,0.00%,,,,,,,,,,,,,Unconquered Sun / Sajuanelhi,,,Herzogtum Enzla,Holy Kingdom of Scripts,4,Holy Kingdom of Scripts,"4,166.25",Svetograd,"5,160.00",Chernkov,"2,356.41",Herzogtum Enzla,"4,042.50",,,,,,,,,,,,,,,,,,,,,,,"15,725.16",1.00,"15,725.16",1,0,2,4
Arcadia,Arcadia,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,Scientarium,,,,,6,Zalmoxia,"3,675.00",Hrvolan Qaris,"6,362.50",Unigol,"3,681.25",Meadoia Dynasty,"3,710.00",Mach Republic,"5,390.00",The Aislings,"6,998.75",,,,,,,,,,,,,,,,,,,"29,817.50",1.25,"37,271.88",1,0,0,6
Arethousa,Arethousa,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,"Arabattahya, Lauzydos",,,Kingdom of the Aurore,,9,Araybattahya ,"3,475.00",Velken Bulwark,"4,300.00",Meridomus Kalleprii,"4,730.00",Kingdom of the Aurore,"6,370.00",Lauzydos,"4,730.00",Thaurinna,"1,000.00",Pyhätmetsät,"3,062.50",The Gavi’ Kingdom,"2,504.25",Akaḣpetoƞ,"6,981.25",,,,,,,,,,,,,"37,153.00",0.95,"35,295.35",2,0,1,9
Ashdayn,Ashdayn,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,,,Lohiida Dathinaal,,7,Tetóth Kegeth,"4,859.25",Lohiida Dathinaal,"2,650.00",Akalikania,"3,368.75",Scarcojiu,"2,186.25",,,,,,,,,,,,,,,,,,,,,,,"13,064.25",1.05,"13,717.46",0,0,1,4
Rastoria,Rastoria,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1.05,0.00,0,0,0,0
Saholnahes Ceuluanas,Saholnahes Ceuluanas,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,"Yeotang, ",Republic o. Zuntirar,Yeotang,ADMIN NATION,,6,Kingdom of Gallacia,"5,652.50",Forge of Aarde,"3,200.31",Yeotang,"4,687.50",The Teutā Erwā,"2,958.05",Adelaar Legioen,"8,508.50",United Federation of Malam States,"3,870.00",,,,,,,,,,,,,,,,,,,"28,876.86",1.25,"36,096.07",2,2,1,6
The Amerian Republic,The Amerian Republic,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,Kaiarau,,,,,9,Unified Republic of Kaiarau,"4,287.50",Free City of Zephon,"10,947.60",The Kingdom of Lunar,"7,387.50",Snow Dominion,"5,301.00",Mercati Emporium,"6,360.00",Nournourlant,"4,462.50",,,,,,,,,,,,,,,,,,,"38,746.10",0.95,"36,808.80",1,0,0,6
Kingdom of Gallacia,Kingdom of Gallacia,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,Holy Kingdom of the scripts,,Kinh Nam City-State,Republic o. Zuntirar,Yeotang,10,Kingdom of Mimgrond,"7,140.00",Republic o. Zuntirar,"9,933.00",Kinh Nam City-State,"9,313.56",Kingdom of Jasper,"5,948.25",Saholnahes Ceuluanas,"2,718.75",Imperial City of Soria,"4,049.38",Diogen,"4,300.00",Free City of Erub-Kai,"8,098.75",Yeotang,"4,687.50",Adelaar Legioen,"8,508.50",,,,,,,,,,,"64,697.69",0.95,"61,462.80",1,1,2,10
The Statute of Order,The Statute of Order,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,Ophenadon,Ascendant Regency of Newstar,Snow Dominion,Sancta Discordia,The Kingdom of Sk'o'chapr,9,Snow Dominion,"5,301.00",The Dukedom of Sylicia,"4,049.38",Ascendant Regency of Newstar,"4,300.00",The Kingdom of Sk'o'chapr,"4,049.38",Mercati Emporium,"6,360.00",Sancta Discordia,"6,998.75",Hadastan Commenwealth,"8,503.69",Malo'Sami,"2,650.31",The Kingdom of Lunar,"7,387.50",,,,,,,,,,,,,"49,600.00",0.95,"47,120.00",1,2,2,9
Pólitonskóron,Pólitonskóron,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,,,The Nema Pact,,9,The Nema Pact,"2,296.88",Tavir,"3,062.50",,,The Second Temple,"4,821.88",Tsûa Lâng,"6,998.75",Stryaxina,"4,006.25",Kingdom of Ardungual,"6,545.00",HlérHeim,"3,050.00",Nournourlant,"4,462.50",,,,,,,,,,,,,"35,243.75",0.95,"33,481.56",0,0,1,8
Thys Alari,Thys Alari,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,Meadoia Dynasty,Krosen Dynasty,Hrvolan Qaris,,7,Meadoia Dynasty,"3,710.00",Tuk Dynasty,"3,047.50",Cóchua Kingdom,"3,887.50",Hrvolan Qaris,"6,362.50",Krosen Dynasty,"3,047.50",Pavellion,"4,785.63",,,,,,,,,,,,,,,,,,,"24,840.63",1.05,"26,082.66",0,2,1,6
Kingdom of Mimgrond,Kingdom of Mimgrond,,"79,560.63","217,792.43",36.53%,"10,482.50","82,087.50",12.77%,9.86%,,,,,0.00%,,0.00%,,,,,,,,,,,,,Zalmoxia / Herkunft,Kh'nûll Diocese,The Animal Kingdom,Diogen,Iidunn,9,Kingdom of Gallacia,"5,652.50",Zalmoxia,"3,675.00",Diogen,"4,300.00",The Kingdom of Hemia,"2,790.00",Scientarium,"13,156.00",Republic o. Zuntirar,"9,933.00",Maa,"5,160.00",Kh'nûll Diocese,"3,062.50",The Animal Kingdom,"4,657.50",,,,,,,,,,,,,"52,386.50",0.95,"49,767.18",1,2,2,9
Exodists of Amunkedat,Exodists of Amunkedat,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,Tetóth Kegeth,,Colmea,Kup,5,Colmea,"3,362.50",Lună sângeroasă,"4,042.50",Tetóth Kegeth,"4,859.25",Royal City of Gevero,"5,742.75",Lohiida Dathinaal,"2,650.00",,,,,,,,,,,,,,,,,,,,,"20,657.00",1.25,"25,821.25",0,1,2,5
Yeotang,Yeotang,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,Saholnahes Ceuluanas,,Republic o. Zuntirar,Kingdom of Gallacia,5,Kingdom of Gallacia,"5,652.50",Republic o. Zuntirar,"9,933.00",Kinh Nam City-State,"9,313.56",Svetograd,"5,160.00",Saholnahes Ceuluanas,"2,718.75",,,,,,,,,,,,,,,,,,,,,"32,777.81",1.25,"40,972.27",0,1,2,5
Colmea,Colmea,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,,,Exodists of Amunkedat,,8,Exodists of Amunkedat,"3,062.50",Lună sângeroasă,"4,042.50",Lohiida Dathinaal,"2,650.00",,,,,,,,,,,,,,,,,,,,,,,,,"9,755.00",0.95,"9,267.25",0,0,1,3
Soroner,Soroner,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,,,,,9,Free City of Zephyrabad,"9,718.50",Clan of Skye ,"7,387.50",,,,,,,,,,,,,,,,,,,,,,,,,,,"17,106.00",0.95,"16,250.70",0,0,0,2
Kh'nûll Diocese,Kh'nûll Diocese,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,Kingdom of Mimgrond,Kingdom of Járnfjall,,,8,Kinh Nam City-State,"9,313.56",Kingdom of Mimgrond,"7,140.00",Maa,"5,160.00",Mach Republic,"5,390.00",Kingdom of Járnfjall,"5,950.00",The Holy Realm of Herkunft,"2,650.00",The Kingdom of Hemia,"2,790.00",The Trade Families of Kemakmura,"12,369.00",,,,,,,,,,,,,,,"50,762.56",0.95,"48,224.43",0,2,0,8
Scientarium,Scientarium,,"115,902.06","237,546.71",48.79%,"44,610.00","38,731.00",115.18%,32.79%,,,,,0.00%,,0.00%,,,,,,,,,,,,,"Sarmatai Confederation, Tort Uli Xaliq",,Murenman,,Nournourlant,11,Kingdom of Mimgrond,"7,140.00",Holy Kingdom of Scripts,"4,166.25",Republic o. Zuntirar,"9,933.00",Murenman,"4,049.38",Nournourlant,"4,462.50",Order of The Radiance,"3,368.75",,,,,Diogen,"4,300.00",The Animal Kingdom,"4,657.50",Kingdom of Gloria,"4,300.00",,,,,,,,,"46,377.38",0.95,"44,058.51",2,1,1,9
Diogen,Diogen,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,,,Iidunn,Kingdom of Mimgrond,10,The Animal Kingdom,"4,657.50",Scientarium,"13,156.00",Maa,"5,160.00",Kingdom of Mimgrond,"7,140.00",Kingdom of Gallacia,"5,652.50",Iidunn,"3,225.00",Kingdom of Járnfjall,"5,950.00",The Trade Families of Kemakmura,"12,369.00",The Holy Realm of Herkunft,"2,650.00",,,,,,,,,,,,,"59,960.00",0.75,"44,970.00",0,0,2,9
Republic o. Zuntirar,Republic o. Zuntirar,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,Saholnahes Ceuluanas,,Kingdom of Gallacia,Yeotang,10,Kingdom of Mimgrond,"7,140.00",Kingdom of Gallacia,"5,652.50",High City of Tirsil,"9,718.50",Yeotang,"4,687.50",Drionn Galith,"4,730.00",Scientarium,"13,156.00",Kinh Nam City-State,"9,313.56",Svetograd,"5,160.00",Terrum Aetheri,"5,980.00",Adelaar Legioen,"8,508.50",,,,,,,,,,,"74,046.56",0.95,"70,344.23",0,1,2,10
Free City of Zephyrabad,Free City of Zephyrabad,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,"Enushkan Ur Kaash-Shum, Stepovystkyi Cossack Host",The Kingdom of Zahar,,,,9,The Kingdom of Zahar,"4,410.00",Enushkan Ur Kaash'shum,"2,650.00",,,Kingdom of the Aurore,"6,370.00",The Gavi’ Kingdom,"2,504.25",Soroner,"3,225.00",Kingdom of Jasper,"5,948.25",Carcukhanate,"5,950.00",,,,,,,,,,,,,,,"31,057.50",0.95,"29,504.63",2,1,0,7
The Wendel Witaner,The Wendel Witaner,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.75,0.00,0,0,0,0
Brotherhood of Dwarves,Brotherhood of Dwarves,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,Tetoth Kegeth,,,,,8,Tetóth Kegeth,"4,859.25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,859.25",0.95,"4,616.29",1,0,0,1
Chitinara,Chitinara,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,, ,,,,,10,The Aislings,"6,998.75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,998.75",0.75,"5,249.06",1,0,0,1
High City of Tirsil,High City of Tirsil,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,,,City State of Kido,,11,City State of Kido,"9,313.56",Hui Kai,"11,231.83",Lisanos,"1,987.50",Nuanta,"3,475.00",Luminus,"3,062.50",The Free Cities of Cupiditas,"18,141.00",Kingdom of Lyroa,"3,368.75",Free City of Zephon,"10,947.60",Hadastan Commenwealth,"8,503.69",Mercati Emporium,"6,360.00",Republic o. Zuntirar,"9,933.00",,,,,,,,,"86,324.43",0.75,"64,743.32",0,0,1,11
Elphonsa,Elphonsa,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,,,Imperial City of Soria,Kinh Nam City-State,8,Imperial City of Soria,"4,049.38",Maa,"5,160.00",Ewig Republic,"3,062.50",The Lakarish Kingdom of Olkmania,"6,156.25",Kinh Nam City-State,"9,313.56",,,,,,,,,,,,,,,,,,,,,"27,741.69",0.95,"26,354.60",0,0,2,5
Kilshandia,Kilshandia,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.95,0.00,0,0,0,0
Maa,Maa,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,"Kingdom of Mimgrond, Zalmoxia",,,,,9,Kingdom of Mimgrond,"7,140.00",Zalmoxia,"3,675.00",Kh'nûll Diocese,"3,062.50",Diogen,"4,300.00",Nournourlant,"4,462.50",Elphonsa,"2,296.88",The Holy Realm of Herkunft,"2,650.00",Meadoia Dynasty,"3,710.00",The Trade Families of Kemakmura,"12,369.00",,,,,,,,,,,,,"43,665.88",0.95,"41,482.58",2,0,0,9
Lisanos,Lisanos,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,The Free Cities of Cupiditas,,Luminus,Kingdom of the Kettlelands,8,High City of Tirsil,"9,718.50",Mercati Emporium,"6,360.00",The Dukedom of Sylicia,"4,049.38",Luminus,"3,062.50",Zarkone,"3,887.50",Nuanta,"3,475.00",Kingdom of Lyroa,"3,368.75",Ophenadon,"3,933.00",,,,,,,,,,,,,,,"37,854.63",0.95,"35,961.89",0,1,2,8
HlérHeim,HlérHeim,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,,,,,8,The Second Temple,"4,821.88",Rosefire Dynasty,"3,284.38",Kycerian Dominion,"23,862.50",Pólitonskóron,"7,896.28",Principality of Skanderborg,"6,221.31",Netsanet Republic,"32,180.00",Grand Tetalay,"5,125.00",Shakisu,"19,887.50",,,,,,,,,,,,,,,"103,278.84",0.95,"98,114.90",0,0,0,8
Grand Principality of Onica,Grand Principality of Onica,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,Kingdom of Aeornia,,,Clan of Skye ,The Tarmarches,7,Clan of Skye ,"7,387.50",Meridomus Kalleprii,"4,730.00",Kingdom of the Aurore,"6,370.00",The Tarmarches,"5,060.00",Khyxwuz,"4,462.50",Kingdom of Aeornia,"5,264.19",,,,,,,,,,,,,,,,,,,"33,274.19",0.95,"31,610.48",1,0,2,6
Republic of Nymaró,Republic of Nymaró,Audgunn,,,,,,,,Standard,1.00,133.93%,133.93%,94.05%,54.88%,0.00%,-5.00%,,,Both,100.00%,FALSE,FALSE,FALSE,FALSE,TRUE,Audgunn,Verdandi,,,,,,9,Audgunn,"5,726.25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,726.25",0.95,"5,439.94",0,0,0,1
Meadoia Dynasty,Meadoia Dynasty,,"69,387.81","98,694.11",70.31%,"29,308.13","16,280.00",180.03%,50.07%,,,,,0.00%,,0.00%,,,,,,,,,,,,,"Kingdom of Jarnfjall, Ruzgaristan Enclave",Thys Alari,Hrvolan Qaris,Krosen Dynasty,Tuk Dynasty,10,Maa,"5,160.00",Hrvolan Qaris,"6,362.50",The Trade Families of Kemakmura,"12,369.00",Thys Alari,"4,300.00",The Kingdom of Lunar,"7,387.50",Audgunn,"5,726.25",Arcadia,"4,730.00",Tuk Dynasty,"3,047.50",Krosen Dynasty,"3,047.50",The Ruzgaristan Enclave,"5,442.50",,,,,,,,,,,"57,572.75",0.95,"54,694.11",2,2,2,10
Ewig Republic,Ewig Republic,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,Mach Republic ,,,,,8,Mach Republic,"5,390.00",Iidunn,"3,225.00",Elphonsa,"2,296.88",,,,,,,,,,,,,,,,,,,,,,,,,"10,911.88",0.95,"10,366.28",1,0,0,3
The Holy Realm of Herkunft,The Holy Realm of Herkunft,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,,Alapadana,Kingdom of Járnfjall,Zalmoxia,5,Kingdom of Mimgrond,"7,140.00",Kh'nûll Diocese,"3,062.50",Kingdom of Járnfjall,"5,950.00",Maa,"5,160.00",The Kingdom of Hemia,"2,790.00",,,,,,,,,,,,,,,,,,,,,"24,102.50",1.25,"30,128.13",0,1,2,5
Fu Tiangun Realm,Fu Tiangun Realm,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.95,0.00,0,0,0,0
Glorbentura,Glorbentura,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.95,0.00,0,0,0,0
The Despotate of Kaartiyek,The Despotate of Kaartiyek,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.95,0.00,0,0,0,0
Hui Kai,Hui Kai,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,,,The Free Cities of Cupiditas,Nuanta,10,City State of Kido,"9,313.56",High City of Tirsil,"9,718.50",The Free Cities of Cupiditas,"18,141.00",Nuanta,"3,475.00",Luminus,"3,062.50",Serenissima Res Publica Di Ghalivi,"8,098.75",Kingdom of the Kettlelands,"2,650.00",Free City of Zephon,"10,947.60",The Kingdom of Lunar,"7,387.50",Mercati Emporium,"6,360.00",,,,,,,,,,,"79,154.41",0.95,"75,196.69",0,0,2,10
Vorokov,Vorokov,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,Kaug-Põhja,,,,8,Kaug-Põhja,"2,650.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,650.00",0.95,"2,517.50",0,1,0,1
Treakwielg,Treakwielg,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.95,0.00,0,0,0,0
The Aislings,The Aislings,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,"Herzogtum Enzla, Kingdom of Scripts, Terrum Aetheri, Zalmoxia and Unigol",Herzogtum Enzla,,,,9,Herzogtum Enzla,"4,042.50",Zalmoxia,"3,675.00",Terrum Aetheri,"5,980.00",Unigol,"3,681.25",Chitinara,"3,681.25",Kingdom of Ardungual,"6,545.00",Neonian Kuningate,"4,170.00",The Animal Kingdom,"4,657.50",Arcadia,"4,730.00",,,,,,,,,,,,,"41,162.50",0.95,"39,104.38",4,1,0,9
Principality of Skanderborg,Principality of Skanderborg,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1.05,0.00,0,0,0,0
Akalikania,Akalikania,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,Karak Helhein,Lună sângeroasă,,,8,Karak Helhein,"4,785.63",Lună sângeroasă,"4,042.50",Royal City of Gevero,"5,742.75",Lohiida Dathinaal,"2,650.00",Goldmongers,"3,222.00",Ashdayn,"4,300.00",Scarcojiu,"2,186.25",Council of Dehurkjols,"3,537.19",,,,,,,,,,,,,,,"30,466.31",0.95,"28,943.00",0,2,0,8
Stepovytskyi Cossack Host,Stepovytskyi Cossack Host,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.75,0.00,0,0,0,0
The Dukedom of Sylicia,The Dukedom of Sylicia,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,Luminus,,,,,9,Hadastan Commenwealth,"8,503.69",The Statute of Order,"4,462.50",Lisanos,"1,987.50",Nuanta,"3,475.00",The Free Cities of Cupiditas,"18,141.00",Maatada Istara,"4,462.50",Hui Kai,"11,231.83",,,,,,,,,,,,,,,,,"52,264.01",0.95,"49,650.81",1,0,0,7
Tautaspils,Tautaspils,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,Akaḣpetoƞ,,Mezaspils,Araybattahya ,10,Araybattahya ,"3,475.00",Kaug-Põhja,"2,650.00",Akaḣpetoƞ,"6,981.25",Remid Republic,"11,728.75",Stortingr Republik af Frystdömet,"8,835.00",The Republic of Alyvosk,"6,704.50",Meridomus Kalleprii,"4,730.00",Hanza Trade Republic,"8,758.75",,,,,,,,,,,,,,,"53,863.25",0.75,"40,397.44",0,1,2,8
